Wall time,Step,Value
1698937479.2613432,0,0.3333333432674408
1698937499.7545812,1,0.3333333432674408
1698937520.3768752,2,0.3333333432674408
1698937541.1015453,3,0.3333333432674408
1698937561.7622426,4,0.3333333432674408
1698937582.4162285,5,0.41190478205680847
1698937603.0377226,6,0.8331349492073059
1698937623.8054519,7,0.8992063999176025
1698937644.5365725,8,0.9319444894790649
1698937665.1979465,9,1.0
1698937685.8333063,10,1.0
1698937706.6559494,11,1.0
1698937727.3801818,12,1.0
1698937747.893885,13,1.0
1698937768.5377557,14,1.0
1698937789.219671,15,1.0
1698937809.7099335,16,1.0
1698937830.4623141,17,1.0
1698937850.9791937,18,1.0
1698937871.5505607,19,1.0
1698937891.972794,20,1.0
1698937912.7506254,21,1.0
1698937933.5709517,22,1.0
1698937954.0614724,23,1.0
1698937974.7994626,24,1.0
1698937995.4641972,25,1.0
1698938015.9185224,26,1.0
1698938036.3574085,27,1.0
1698938055.908426,28,1.0
1698938074.333367,29,1.0
1698938092.692324,30,1.0
1698938110.8378568,31,1.0
1698938128.8371978,32,1.0
1698938149.3911994,33,1.0
1698938169.694435,34,1.0
1698938190.5095935,35,1.0
1698938211.0069785,36,1.0
1698938231.6257434,37,1.0
1698938252.243715,38,1.0
1698938273.0202243,39,1.0
1698938293.8179445,40,1.0
1698938314.2551265,41,1.0
1698938335.025173,42,1.0
1698938355.717699,43,1.0
1698938376.4263825,44,1.0
1698938397.0277686,45,1.0
1698938417.6382358,46,1.0
1698938438.2994509,47,1.0
1698938458.9192107,48,1.0
1698938479.5601842,49,1.0
1698938500.1265383,50,1.0
1698938520.8461301,51,1.0
1698938541.4862177,52,1.0
1698938562.1368837,53,1.0
1698938582.7935936,54,1.0
1698938603.5490475,55,1.0
1698938624.465001,56,1.0
