Wall time,Step,Value
1698785114.9922729,0,0.4791666567325592
1698785183.2170973,1,0.6770833730697632
1698785251.4501388,2,1.0
1698785319.732587,3,1.0
1698785388.4344144,4,1.0
1698785457.1815808,5,1.0
1698785519.4912517,6,1.0
1698785585.633363,7,1.0
1698785653.884297,8,1.0
1698785722.2062612,9,1.0
1698785790.3410127,10,1.0
1698785859.061844,11,1.0
1698785927.7153769,12,1.0
1698785996.4037552,13,1.0
1698786064.6249826,14,1.0
1698786125.0522056,15,1.0
1698786193.7065969,16,1.0
1698786262.3879068,17,1.0
1698786331.2341962,18,1.0
1698786399.8635244,19,1.0
1698786468.5272055,20,1.0
1698786537.2569158,21,1.0
1698786606.0357502,22,1.0
1698786672.0743616,23,1.0
1698786734.8471558,24,1.0
1698786803.5427735,25,1.0
1698786872.2249568,26,1.0
1698786940.9113305,27,1.0
1698787009.5776286,28,1.0
1698787078.348807,29,1.0
1698787147.0506458,30,1.0
1698787215.7075083,31,1.0
1698787279.587967,32,1.0
1698787344.015068,33,1.0
1698787412.693704,34,1.0
1698787481.4785929,35,1.0
1698787550.1519597,36,1.0
1698787618.9655683,37,1.0
1698787687.7333543,38,1.0
1698787756.3945906,39,1.0
1698787825.127542,40,1.0
1698787886.8061662,41,1.0
1698787953.4355733,42,1.0
1698788021.725435,43,1.0
1698788090.0771313,44,1.0
1698788158.3156848,45,1.0
1698788226.5568829,46,1.0
1698788294.8639936,47,1.0
1698788363.2114644,48,1.0
1698788430.741102,49,1.0
