Wall time,Step,Value
1695847350.816995,0,0.3333333432674408
1695847401.0429523,1,0.9791666865348816
1695847451.175882,2,1.0
1695847501.424698,3,1.0
1695847551.7609572,4,1.0
1695847602.0537753,5,1.0
1695847652.3348434,6,1.0
1695847702.6549675,7,1.0
1695847752.949996,8,1.0
1695847803.1366243,9,1.0
1695847853.3120496,10,1.0
1695847903.529166,11,1.0
1695847953.8497367,12,1.0
1695848003.8713992,13,1.0
1695848053.8809378,14,1.0
1695848104.0248837,15,1.0
1695848154.1938303,16,1.0
1695848204.3857086,17,1.0
1695848254.5876055,18,1.0
1695848304.7816195,19,1.0
1695848354.9960132,20,1.0
1695848405.1643713,21,1.0
1695848455.3849301,22,1.0
1695848505.5577717,23,1.0
1695848555.6712186,24,1.0
1695848605.7542658,25,1.0
1695848655.8890285,26,1.0
1695848705.9670122,27,1.0
1695848756.1621473,28,1.0
1695848806.2873225,29,1.0
1695848856.3235295,30,1.0
1695848906.4734113,31,1.0
1695848956.6530437,32,1.0
1695849006.7614663,33,1.0
1695849056.8377671,34,1.0
1695849107.0067666,35,1.0
1695849157.041342,36,1.0
1695849206.9992838,37,1.0
1695849256.9850368,38,1.0
1695849307.1059735,39,1.0
1695849357.2386017,40,1.0
1695849407.409147,41,1.0
1695849457.5586233,42,1.0
1695849507.7160366,43,1.0
1695849557.874576,44,1.0
1695849608.0673025,45,1.0
1695849658.2266102,46,1.0
1695849708.4326696,47,1.0
1695849758.550794,48,1.0
1695849808.6611273,49,1.0
1695849858.8417752,50,1.0
1695849908.9862194,51,1.0
1695849959.13834,52,1.0
1695850009.2851877,53,1.0
1695850059.4306483,54,1.0
1695850109.5729737,55,1.0
1695850159.690634,56,1.0
1695850209.8231914,57,1.0
1695850259.9957037,58,1.0
1695850310.239228,59,1.0
1695850360.3167996,60,1.0
1695850410.4389598,61,1.0
1695850460.4734256,62,1.0
1695850510.5814006,63,1.0
1695850560.681548,64,1.0
1695850610.7738256,65,1.0
1695850660.9273946,66,1.0
1695850711.1881943,67,1.0
1695850761.3247535,68,1.0
1695850811.476014,69,1.0
1695850861.6006596,70,1.0
1695850911.7674878,71,1.0
1695850961.8635442,72,1.0
1695851011.9487367,73,1.0
1695851062.081216,74,1.0
1695851112.2725883,75,1.0
1695851162.4323058,76,1.0
1695851212.624834,77,1.0
1695851262.796846,78,1.0
