Wall time,Step,Value
1698750151.0970829,0,0.3333333432674408
1698750232.9651375,1,0.4791666865348816
1698750314.9563267,2,0.9340277910232544
1698750392.4114294,3,0.9479166865348816
1698750468.3703337,4,1.0
1698750550.7722387,5,1.0
1698750633.1696177,6,1.0
1698750715.6010942,7,1.0
1698750797.9728255,8,1.0
1698750880.4787884,9,1.0
1698750962.870732,10,1.0
1698751045.3326118,11,1.0
1698751127.6609237,12,1.0
1698751210.277357,13,1.0
1698751292.752153,14,1.0
1698751375.0564606,15,1.0
1698751457.319723,16,1.0
1698751538.642755,17,1.0
1698751614.0313168,18,1.0
1698751694.1644027,19,1.0
1698751776.5376952,20,1.0
1698751858.7713983,21,1.0
1698751941.0865192,22,1.0
1698752023.2399855,23,1.0
1698752105.5056498,24,1.0
1698752187.9827075,25,1.0
1698752270.2991521,26,1.0
1698752352.512237,27,1.0
1698752434.7557971,28,1.0
1698752517.0545294,29,1.0
1698752599.7255013,30,1.0
1698752682.0124443,31,1.0
1698752759.858045,32,1.0
1698752836.1824331,33,1.0
1698752918.5147755,34,1.0
1698753000.7566228,35,1.0
1698753083.1229746,36,1.0
1698753165.4565024,37,1.0
1698753247.668581,38,1.0
1698753329.9433208,39,1.0
1698753412.2551432,40,1.0
1698753494.5937185,41,1.0
1698753576.814897,42,1.0
1698753659.0850987,43,1.0
1698753741.4261227,44,1.0
1698753823.7497826,45,1.0
1698753905.1976328,46,1.0
1698753980.481959,47,1.0
1698754060.530521,48,1.0
1698754142.9340463,49,1.0
1698754225.1821365,50,1.0
1698754307.4958017,51,1.0
1698754389.7554185,52,1.0
1698754471.9901886,53,1.0
1698754554.2400649,54,1.0
1698754636.4773707,55,1.0
1698754718.8623304,56,1.0
1698754801.1107872,57,1.0
1698754883.3816826,58,1.0
1698754965.6297002,59,1.0
1698755048.0606146,60,1.0
1698755125.7879717,61,1.0
1698755202.0730786,62,1.0
1698755284.2842963,63,1.0
1698755366.6922235,64,1.0
1698755449.0253775,65,1.0
1698755531.260525,66,1.0
1698755613.4223328,67,1.0
1698755695.535506,68,1.0
1698755777.8002825,69,1.0
1698755860.0445013,70,1.0
1698755942.210575,71,1.0
1698756024.5168774,72,1.0
1698756106.9283192,73,1.0
1698756189.1200788,74,1.0
1698756270.4418068,75,1.0
1698756345.693865,76,1.0
1698756425.528757,77,1.0
1698756507.4187524,78,1.0
1698756589.3542285,79,1.0
1698756671.2094302,80,1.0
