Wall time,Step,Value
1695904137.4890895,0,0.3333333432674408
1695904187.9112365,1,0.725694477558136
1695904238.2817156,2,0.9861111044883728
1695904288.6643155,3,0.9861111044883728
1695904339.051462,4,0.9861111044883728
1695904389.4136798,5,1.0
1695904439.8730035,6,1.0
1695904490.3441772,7,1.0
1695904540.802727,8,1.0
1695904591.2796671,9,1.0
1695904641.7387109,10,1.0
1695904692.0686405,11,1.0
1695904742.3678331,12,1.0
1695904792.7830882,13,1.0
1695904843.1575603,14,1.0
1695904893.559744,15,1.0
1695904943.9415293,16,1.0
1695904994.3399608,17,1.0
1695905044.7954903,18,1.0
1695905095.196086,19,1.0
1695905145.5973563,20,1.0
1695905195.9687548,21,1.0
1695905246.3838224,22,1.0
1695905296.7639143,23,1.0
1695905347.1795497,24,1.0
1695905397.610114,25,1.0
1695905448.0243204,26,1.0
1695905498.5265992,27,1.0
1695905548.97977,28,1.0
1695905599.4188173,29,1.0
1695905649.8630712,30,1.0
1695905700.2470446,31,1.0
1695905750.7424154,32,1.0
1695905801.2324803,33,1.0
1695905851.69984,34,1.0
1695905902.1230605,35,1.0
1695905952.5938048,36,1.0
1695906003.118286,37,1.0
1695906053.5856595,38,1.0
1695906104.0327408,39,1.0
1695906154.4939961,40,1.0
1695906204.9295714,41,1.0
1695906255.38103,42,1.0
1695906305.8221562,43,1.0
1695906356.340427,44,1.0
1695906406.7995224,45,1.0
1695906457.0135198,46,1.0
1695906507.2822309,47,1.0
1695906557.6180077,48,1.0
1695906607.9460661,49,1.0
1695906658.2690425,50,1.0
1695906708.6412861,51,1.0
1695906759.0993297,52,1.0
1695906809.5255077,53,1.0
1695906859.881849,54,1.0
1695906910.203372,55,1.0
1695906960.5761569,56,1.0
1695907010.8829882,57,1.0
1695907061.1725652,58,1.0
1695907111.460145,59,1.0
1695907161.7435708,60,1.0
1695907212.0141716,61,1.0
1695907262.3040266,62,1.0
1695907312.712966,63,1.0
1695907363.0532863,64,1.0
1695907413.428982,65,1.0
1695907463.9322407,66,1.0
1695907514.4056263,67,1.0
1695907564.707151,68,1.0
1695907615.0075426,69,1.0
1695907665.2950666,70,1.0
1695907715.7042298,71,1.0
1695907766.0834353,72,1.0
1695907816.45083,73,1.0
1695907866.8491182,74,1.0
1695907917.2612035,75,1.0
1695907967.6602027,76,1.0
1695908018.0275059,77,1.0
1695908068.433676,78,1.0
1695908118.908003,79,1.0
1695908169.3487027,80,1.0
1695908219.7684605,81,1.0
