Wall time,Step,Value
1698678814.3964477,0,0.5498263835906982
1698679005.690725,1,0.9822916984558105
1698679185.6323059,2,0.956076443195343
1698679376.5311146,3,0.9958333373069763
1698679566.8970408,4,1.0
1698679757.767919,5,0.9958333373069763
1698679949.2002287,6,1.0
1698680138.6234517,7,1.0
1698680320.7925065,8,1.0
1698680511.7908657,9,1.0
1698680702.8951476,10,1.0
1698680893.962069,11,1.0
1698681085.1385717,12,1.0
1698681269.008612,13,1.0
1698681455.6991808,14,1.0
1698681647.3214445,15,1.0
1698681838.422687,16,1.0
1698682029.6697717,17,1.0
1698682220.5451248,18,1.0
1698682399.97487,19,1.0
1698682590.8583875,20,1.0
1698682781.5238395,21,1.0
1698682972.57136,22,1.0
1698683163.866215,23,1.0
1698683355.2830293,24,1.0
1698683535.1758075,25,1.0
1698683726.4554143,26,1.0
1698683917.7115686,27,1.0
1698684108.9102466,28,1.0
1698684299.9721987,29,1.0
1698684487.0792456,30,1.0
1698684671.7183743,31,1.0
1698684862.8523688,32,1.0
1698685054.3005567,33,1.0
1698685245.808383,34,1.0
1698685437.1157744,35,1.0
1698685618.6964154,36,1.0
1698685810.2303169,37,1.0
1698686001.8856122,38,1.0
1698686193.4170785,39,1.0
1698686384.9357855,40,1.0
1698686576.7793572,41,1.0
1698686758.231873,42,1.0
1698686950.1176434,43,1.0
1698687141.8318927,44,1.0
1698687333.3331187,45,1.0
1698687524.8514478,46,1.0
1698687711.3509269,47,1.0
1698687898.226609,48,1.0
1698688089.7985399,49,1.0
1698688281.3170214,50,1.0
1698688473.1141806,51,1.0
1698688664.9410021,52,1.0
1698688846.678293,53,1.0
1698689038.3168776,54,1.0
1698689229.934252,55,1.0
1698689421.5886497,56,1.0
1698689613.3005767,57,1.0
1698689804.290224,58,1.0
1698689986.4711878,59,1.0
1698690178.1546698,60,1.0
1698690369.7998412,61,1.0
1698690561.028832,62,1.0
1698690751.9075508,63,1.0
1698690936.067808,64,1.0
1698691122.996398,65,1.0
1698691313.901359,66,1.0
1698691504.6001215,67,1.0
1698691695.674813,68,1.0
1698691886.847111,69,1.0
1698692066.5855854,70,1.0
1698692257.5436203,71,1.0
1698692448.887281,72,1.0
1698692639.9409811,73,1.0
1698692831.1910324,74,1.0
1698693021.837718,75,1.0
1698693202.6725526,76,1.0
